Time (s) A1,Force (N) A1,Time (s) A2,Force (N) A2,Time (s) A3,Force (N) A3,Time (s) B1,Force (N) B1,Time (s) B2,Force (N) B2,Time (s) B3,Force (N) B3,Time (s) Control 1,Force (N) Control 1,Time (s) Control 2,Force (N) Control 2,Time (s) Control 3,Force (N) Control 3
0.3,0.01,0.3,0.01,0.3,0.02,0.3,0.01,0.3,0.0,0.3,0.0,0.3,-0.01,0.3,0.01,0.3,0.01
0.302,0.02,0.302,0.01,0.302,0.0,0.302,0.0,0.302,0.0,0.302,0.0,0.302,0.0,0.302,0.0,0.302,0.01
0.304,0.02,0.304,0.02,0.304,0.02,0.304,0.0,0.304,-0.01,0.304,0.01,0.304,-0.01,0.304,0.0,0.304,0.0
0.306,0.02,0.306,0.01,0.306,0.01,0.306,0.0,0.306,-0.01,0.306,0.01,0.306,-0.01,0.306,-0.01,0.306,0.0
0.308,0.02,0.308,0.03,0.308,0.01,0.308,0.0,0.308,0.0,0.308,0.01,0.308,0.0,0.308,0.0,0.308,0.01
0.31,0.02,0.31,0.02,0.31,0.02,0.31,0.0,0.31,0.0,0.31,0.0,0.31,-0.01,0.31,0.0,0.31,0.01
0.312,0.02,0.312,0.02,0.312,0.01,0.312,0.0,0.312,0.0,0.312,0.01,0.312,-0.01,0.312,0.0,0.312,0.0
0.314,0.02,0.314,0.02,0.314,0.01,0.314,0.01,0.314,0.0,0.314,0.01,0.314,0.0,0.314,0.01,0.314,0.0
0.316,0.02,0.316,0.02,0.316,0.01,0.316,0.01,0.316,0.0,0.316,0.0,0.316,0.0,0.316,0.0,0.316,0.0
0.318,0.02,0.318,0.01,0.318,0.01,0.318,0.0,0.318,-0.01,0.318,0.0,0.318,-0.01,0.318,0.01,0.318,0.0
0.32,0.02,0.32,0.01,0.32,0.01,0.32,0.0,0.32,0.0,0.32,0.01,0.32,-0.01,0.32,0.01,0.32,0.0
0.322,0.01,0.322,0.04,0.322,0.01,0.322,0.01,0.322,-0.01,0.322,0.01,0.322,0.0,0.322,0.01,0.322,0.01
0.324,0.01,0.324,0.01,0.324,0.01,0.324,0.01,0.324,-0.01,0.324,0.01,0.324,0.0,0.324,0.01,0.324,0.01
