Time (s) Control 3,Force (N) Control 3
0.8480000000000008,0.0
0.8499999999999996,0.0
0.8520000000000003,-0.01
0.854000000000001,-0.01
0.8559999999999999,-0.01
0.8580000000000005,0.0
0.8600000000000012,-0.01
0.8620000000000001,-0.01
0.8640000000000008,-0.01
0.8659999999999997,0.0
0.8680000000000003,0.0
0.870000000000001,0.0
0.8719999999999999,-0.01
0.8740000000000006,0.0
0.8760000000000012,-0.02
0.8780000000000001,-0.01
0.8800000000000008,-0.01
0.8819999999999997,-0.01
0.8840000000000003,0.0
0.886000000000001,0.0
0.8879999999999999,0.0
0.8900000000000006,0.0
0.8920000000000012,0.0
0.8940000000000001,0.0
0.8960000000000008,-0.01
0.8979999999999997,0.0
0.9000000000000004,0.0
0.902000000000001,-0.01
0.904,0.0
0.9060000000000006,-0.01
0.9080000000000013,0.0
0.91,-0.01
0.9120000000000008,0.0
0.9139999999999996,-0.01
0.9160000000000004,0.0
0.918000000000001,-0.01
0.92,-0.01
0.9220000000000006,-0.02
0.9240000000000012,-0.01
0.9260000000000002,0.0
0.9280000000000008,0.0
0.9299999999999996,-0.01
0.9320000000000004,-0.01
0.934000000000001,0.0
0.936,-0.01
0.9380000000000006,-0.01
0.9400000000000012,0.0
0.9420000000000002,-0.01
0.9440000000000008,-0.01
0.9459999999999996,-0.01
0.9480000000000004,0.0
0.9500000000000012,-0.01
0.952,0.0
0.9540000000000006,0.0
0.9560000000000012,0.0
0.9580000000000002,-0.01
0.9600000000000009,0.0
0.9619999999999996,0.01
0.9640000000000004,-0.01
0.9660000000000012,0.0
0.968,0.0
0.9700000000000006,0.0
0.9720000000000012,0.0
0.9740000000000002,0.0
0.9760000000000008,0.01
0.9779999999999998,0.0
0.9800000000000004,0.0
0.9820000000000012,0.0
0.984,-0.01
0.9860000000000008,0.0
0.9880000000000012,0.0
0.9900000000000002,0.0
0.9920000000000008,-0.01
0.9939999999999998,0.0
0.9960000000000004,-0.01
0.9980000000000012,0.0
1.0,-0.01
1.002000000000001,-0.01
1.0040000000000011,-0.01
1.0060000000000002,-0.01
1.008000000000001,0.0
1.0099999999999998,-0.01
1.0120000000000005,-0.01
1.0140000000000011,-0.01
1.016,0.0
1.018000000000001,0.0
1.0200000000000014,-0.01
1.0220000000000002,-0.01
1.024000000000001,-0.01
1.0259999999999998,-0.01
1.0280000000000005,0.23
1.0300000000000011,5.2
1.032,12.49
1.0340000000000007,19.2
1.0360000000000014,22.01
1.0380000000000005,19.04
1.040000000000001,14.58
1.0419999999999998,10.06
1.0440000000000005,5.49
1.0460000000000012,2.15
1.048,0.15
1.0500000000000007,0.1
1.0520000000000014,-0.04
1.0540000000000005,-0.05
1.056000000000001,0.05
1.0579999999999998,0.01
1.0600000000000005,-0.01
1.0620000000000012,0.02
1.064,0.02
1.0660000000000007,-0.02
1.0679999999999996,0.0
1.0700000000000005,0.01
1.072000000000001,0.0
1.0739999999999998,-0.01
1.0760000000000003,-0.02
1.0780000000000012,-0.01
1.08,0.0
1.0820000000000007,-0.02
1.0839999999999996,-0.01
1.0860000000000003,-0.01
1.088000000000001,0.0
1.09,-0.01
1.0920000000000003,-0.01
1.0940000000000012,-0.01
1.096,-0.01
1.0980000000000008,0.0
1.0999999999999996,0.01
1.1020000000000003,0.0
1.104000000000001,-0.01
1.106,0.01
1.1080000000000003,0.0
1.1100000000000012,-0.01
1.112,0.0
1.1140000000000008,0.0
1.1159999999999997,0.0
1.1180000000000003,-0.01
1.120000000000001,-0.01
1.122,-0.01
1.1240000000000006,0.0
1.1260000000000012,0.0
1.128,0.0
1.1300000000000008,0.0
1.1319999999999997,0.01
1.1340000000000003,0.0
1.136000000000001,-0.01
1.138,0.0
1.1400000000000006,0.0
1.1420000000000012,0.0
1.144,0.0
1.1460000000000008,0.0
1.1479999999999997,0.0
1.1500000000000004,-0.01
1.152000000000001,0.0
1.154,0.0
1.1560000000000006,0.0
1.1580000000000013,0.01
1.16,0.0
1.1620000000000008,0.0
1.1639999999999997,0.0
1.1660000000000004,0.0
1.168000000000001,0.0
1.17,-0.01
1.1720000000000006,0.0
1.1740000000000013,0.0
1.1760000000000002,-0.01
1.1780000000000008,-0.01
1.1799999999999995,-0.01
1.1820000000000004,0.0
1.184000000000001,-0.01
1.186,-0.01
1.1880000000000006,0.0
1.1900000000000013,0.0
1.1920000000000002,-0.01
1.1940000000000008,-0.01
1.1959999999999995,0.0
1.1980000000000004,-0.01
1.200000000000001,0.0
1.202,-0.01
1.2040000000000006,-0.01
